mean_1,mean_2,mean_3,mean_4,mean_5,Global_Maximum,Global_Maximum_Interval,Count_Local_Max_1,Count_Local_Max_2,Count_Local_Max_3,Count_Local_Max_4,Count_Local_Max_5,Count_Local_Min_1,Count_Local_Min_2,Count_Local_Min_3,Count_Local_Min_4,Count_Local_Min_5,Diff_Local_Max_Min_Interval_1,Diff_Local_Max_Min_Interval_2,Diff_Local_Max_Min_Interval_3,Diff_Local_Max_Min_Interval_4,Diff_Local_Max_Min_Interval_5,CGM_Displacement_Interval_1,CGM_Displacement_Interval_2,CGM_Displacement_Interval_3,CGM_Displacement_Interval_4,CGM_Displacement_Interval_5,CGM_Velocity_Interval_1,CGM_Velocity_Interval_2,CGM_Velocity_Interval_3,CGM_Velocity_Interval_4,CGM_Velocity_Interval_5,Label
259.0,215.33333333333334,213.16666666666666,175.5,158.5,274.0,1,0,0,2,1,0,0,2,0,1,0,0.0,0.0,10.0,14.0,132.0,40.0,17.0,4.0,-3.0,30.0,8.0,3.4,0.8,-0.6,5.0,0
112.16666666666667,123.16666666666667,145.83333333333334,113.5,70.0,154.0,3,2,0,1,1,0,2,0,1,0,2,1.0,0.0,8.0,1.0,0.0,4.0,-26.0,10.0,60.0,-12.0,0.8,-5.2,2.0,12.0,-2.0,0
88.66666666666667,97.0,105.5,133.66666666666666,180.5,105.0,3,0,1,1,0,0,0,1,1,0,0,0.0,7.0,2.0,0.0,0.0,-6.0,-7.0,-8.0,-36.0,-43.0,-1.2,-1.4,-1.6,-7.2,-7.166666666666667,0
243.83333333333334,249.33333333333334,200.83333333333334,173.33333333333334,157.66666666666666,254.0,2,1,1,0,1,1,0,0,1,0,1,23.0,0.0,0.0,7.0,4.0,-21.0,12.0,61.0,-1.0,-2.0,-4.2,2.4,12.2,-0.2,-0.3333333333333333,1
318.0,291.3333333333333,266.5,248.0,210.66666666666666,336.0,1,1,1,2,2,0,2,1,1,2,1,3.0,2.0,7.0,7.0,0.0,33.0,17.0,52.0,-7.0,12.0,6.6,3.4,10.4,-1.4,2.0,0
243.83333333333334,263.8333333333333,272.3333333333333,266.5,261.8333333333333,279.0,3,0,1,1,1,0,1,2,0,1,1,0.0,1.0,17.0,15.0,0.0,-19.0,7.0,-12.0,-5.0,23.0,-3.8,1.4,-2.4,-1.0,3.8333333333333335,1
166.16666666666666,194.33333333333334,234.16666666666666,243.16666666666666,259.6666666666667,244.0,4,0,0,2,1,0,0,0,2,2,0,0.0,0.0,16.0,1.0,0.0,-14.0,-48.0,-16.0,0.0,-14.0,-2.8,-9.6,-3.2,0.0,-2.3333333333333335,1
199.5,149.33333333333334,96.66666666666667,107.0,109.83333333333333,213.0,1,1,0,0,1,0,0,0,1,0,1,6.0,0.0,0.0,23.0,0.0,29.0,42.0,36.0,-23.0,-9.0,5.8,8.4,7.2,-4.6,-1.5,1
269.5,245.66666666666666,192.16666666666666,172.33333333333334,168.83333333333334,277.0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,22.0,0.0,16.0,29.0,57.0,-21.0,13.0,3.2,5.8,11.4,-4.2,2.1666666666666665,1
88.5,122.0,116.33333333333333,175.16666666666666,199.33333333333334,200.0,5,0,1,0,1,1,1,0,1,0,3,0.0,29.0,0.0,47.0,1.0,21.0,-13.0,-31.0,-44.0,-1.0,4.2,-2.6,-6.2,-8.8,-0.16666666666666666,1
